output_dir,seed,num_samples,model_name_or_path,tokenizer,dataset,mode,score_generation_mode,tensor_parallel_size,temperature,top_p,repetition_penalty,max_cot_tokens,prompt_dir,v100,max_model_len,pearson_r,pearson_p_value,spearman_r,spearman_p_value,kendall_tau,kenall_p_value,rmse,validation_ratio,n_cot,save_score_logits,save_score_probs,is_formattted,prepare_training_data,output_training_data_name,training_data_validation_ratio,use_system_prompt,remove_reference
evaluation_result,42,-1,../models/full_ce_feedback_score/,mistralai/Mistral-7B-Instruct-v0.2,prometheus-eval/Feedback-Bench,feedback_score,raft,1,1.0,0.9,1.03,1024.0,../finetuning_utils/prompts,False,4096,0.9327081598348216,0.0,0.9350278995587314,0.0,0.840546101750076,5.8540176079112596e-272,0.5178926935066857,0.0,1.0,,1.0,,,,,,
evaluation_result,42,20,../models/full_ce_feedback_score/,mistralai/Mistral-7B-Instruct-v0.2,prometheus-eval/Feedback-Bench,feedback_score,raft,1,1.0,0.9,1.03,1024.0,../finetuning_utils/prompts,False,4096,0.9490381573182674,1.829003796756896e-10,0.8933596613103411,1.1436528487040326e-07,0.7779707388370706,1.1613290197187832e-05,0.4263066725657677,0.0,5.0,,1.0,,,,,,
evaluation_result,42,-1,../models/full_ce_feedback_score/,mistralai/Mistral-7B-Instruct-v0.2,prometheus-eval/Feedback-Bench,feedback_score,raft,1,1.0,0.9,1.03,1024.0,../finetuning_utils/prompts,False,4096,0.9558139524530886,0.0,0.952494363818938,0.0,0.8512536908120978,9.503681690281783e-294,0.4175065076857616,0.0,5.0,,1.0,,,,,,
evaluation_result,42,-1,../models/full_ce_feedback_score/,mistralai/Mistral-7B-Instruct-v0.2,prometheus-eval/Feedback-Collection,feedback_score,raft,1,1.0,0.9,1.03,1024.0,../finetuning_utils/prompts,False,4096,0.9560529104539908,1.644039550406451e-267,0.9512080559386076,1.8155763129795262e-256,0.8494556660253868,6.471553419601629e-147,0.4145443584786608,0.05,5.0,,1.0,,,,,,
evaluation_result,42,-1,../models/full_ce_feedback_score/,mistralai/Mistral-7B-Instruct-v0.2,data/flask_eval.json,feedback_score,decode,1,1.0,0.9,1.03,1024.0,../finetuning_utils/prompts,False,4096,0.2765199423812006,6.567869811139474e-36,0.266839622265703,1.818389215909267e-33,0.2121487902736023,8.534889089652742e-34,1.947097135030272,0.0,1.0,,0.0,1.0,,,,,
evaluation_result,42,-1,../models/full_ce_feedback_score/,mistralai/Mistral-7B-Instruct-v0.2,prometheus-eval/Feedback-Bench,feedback_score,decode,1,1.0,0.9,1.03,1024.0,../finetuning_utils/prompts,False,4096,0.9276442716017832,0.0,0.9278624718495768,0.0,0.8697606396026635,2.2137282966319414e-257,0.5386656129458062,0.0,1.0,,0.0,0.0,,,,,
evaluation_result,42,-1,../models/lora_cot_sft/,mistralai/Mistral-7B-Instruct-v0.2,prometheus-eval/Feedback-Bench,feedback_score,decode,1,1.0,0.9,1.03,1024.0,../finetuning_utils/prompts,False,4096,0.8969578210111467,0.0,0.8982831353881832,0.0,0.8281310213169295,2.435019650517549e-234,0.6403124237432849,0.0,1.0,,0.0,0.0,,,,,
evaluation_result,42,-1,../models/full_ce_feedback_score/,mistralai/Mistral-7B-Instruct-v0.2,prometheus-eval/Feedback-Bench,feedback_score,decode,1,1.0,0.9,1.03,1024.0,../finetuning_utils/prompts,False,4096,0.929208284176566,0.0,0.9296089371387348,0.0,0.8731623548273254,1.9187695137354235e-260,0.5319774431308154,0.0,1.0,,0.0,0.0,,,,,
evaluation_result,42,-1,../models/full_ce_feedback_score/,mistralai/Mistral-7B-Instruct-v0.2,data/flask_eval.json,feedback_score,decode,1,1.0,0.9,1.03,1024.0,../finetuning_utils/prompts,False,4096,0.2724554510467272,2.1500303036519144e-35,0.2636025166179649,3.682025930051786e-33,0.2088825569537046,2.5387169182631026e-33,1.9459205268077304,0.0,1.0,,0.0,1.0,,,,,
evaluation_result,42,-1,../models/lora_cot_sft/,mistralai/Mistral-7B-Instruct-v0.2,prometheus-eval/Feedback-Bench,feedback_score,decode,1,1.0,0.9,1.03,1024.0,../finetuning_utils/prompts,False,4096,0.9379287442594458,0.0,0.9365145569951652,0.0,0.8440440052004764,1.7811793489254738e-274,0.4927473997901967,0.0,5.0,,0.0,0.0,,,,,
